year,bikes_count,docks_count,name,Borough
2013.0,18,22,"World's End Place, West Chelsea",Unknown
2013.0,18,23,"Chesilton Road, Fulham",Hammersmith & Fulham
2019.0,19,24,"Walworth Square, Walworth",Southwark
2010.0,21,24,"Sancroft Street, Vauxhall",Lambeth
2013.0,21,24,"Stanley Grove, Battersea",Wandsworth
2010.0,22,25,"Gloucester Street, Pimlico",Unknown
2018.0,22,25,"Wynne Road, Stockwell",Lambeth
,23,27,"Lancaster Drive, Blackwall",Tower Hamlets
2010.0,24,28,"Macclesfield Rd, St Lukes",Unknown
2012.0,24,29,"Ackroyd Drive, Bow",Tower Hamlets
2012.0,25,28,"Cheshire Street, Bethnal Green",Unknown
2012.0,27,31,"Clarkson Street, Bethnal Green",Tower Hamlets
2010.0,29,32,"Dickens Square, Borough",Southwark
2012.0,34,38,"Lancaster Gate , Bayswater",Unknown
2010.0,38,41,"Borough Road, Elephant & Castle",Southwark
2013.0,38,43,"Irene Road, Parsons Green",Unknown
2011.0,10,16,"Devonshire Terrace, Bayswater",Unknown
2010.0,11,16,"Princes Square, Bayswater",Unknown
2010.0,12,17,"Wellington Road, St. John's Wood",Unknown
2010.0,12,16,"Guildhouse Street, Victoria",Unknown
,12,19,"Crimscott Street, Bermondsey",Southwark
2010.0,13,18,"Grosvenor Crescent, Belgravia",Unknown
2010.0,13,17,"Kensington Church Street, Kensington",Unknown
2012.0,13,17,"East Ferry Road, Cubitt Town",Unknown
2010.0,19,24,"Windsor Terrace, Hoxton",Hackney
2010.0,19,23,"Gloucester Terrace, Bayswater",Unknown
2013.0,19,23,"Clements Road, Bermondsey",Southwark
2012.0,20,25,"Flamborough Street, Limehouse",Unknown
2016.0,20,28,"Stratford Station, Stratford",Newham
2010.0,21,26,"Boston Place, Marylebone",Unknown
2010.0,21,25,"Lollard Street, Vauxhall",Lambeth
2012.0,22,28,"Pitfield Street North,Hoxton",Hackney
2013.0,22,26,"Beryl Road, Hammersmith",Hammersmith & Fulham
2012.0,23,27,"York Hall, Bethnal Green",Tower Hamlets
2016.0,23,28,"Here East North, Queen Elizabeth Olympic Park",Unknown
2011.0,24,30,"Fire Brigade Pier, Vauxhall",Lambeth
2013.0,24,28,"Falcon Road, Clapham Junction",Wandsworth
2012.0,26,33,"Kennington Oval, Oval",Lambeth
2018.0,26,32,"Normandy Road, Stockwell",Lambeth
,29,36,"Clinton Road, Mile End",Tower Hamlets
2014.0,29,33,"St. John's Road, Clapham Junction",Wandsworth
2012.0,34,39,"Devons Road, Bow",Tower Hamlets
2010.0,3,10,"Royal Avenue 2, Chelsea",Unknown
,8,16,"Harrowby Street, Marylebone",Unknown
2012.0,9,17,"Southern Grove, Bow",Tower Hamlets
2010.0,10,16,"Cleveland Gardens, Bayswater",Unknown
2010.0,10,15,"Ontario Street, Elephant & Castle",Unknown
2010.0,11,17,"Vauxhall Cross, Vauxhall",Lambeth
2010.0,12,17,"Penywern Road, Earl's Court",Unknown
2012.0,12,20,"Pott Street, Bethnal Green",Tower Hamlets
,13,19,"Eccleston Place, Victoria",Unknown
2012.0,13,18,"Chrisp Street Market, Poplar",Tower Hamlets
2014.0,13,21,"Limburg Road, Clapham Junction",Wandsworth
2010.0,14,20,"New Inn Yard, Shoreditch",Hackney
,14,21,"Bancroft Road, Bethnal Green",Tower Hamlets
2010.0,16,21,"Borough High Street, The Borough",Southwark
2012.0,19,24,"Sail Street, Vauxhall",Lambeth
,19,24,"Langdon Park, Poplar",Tower Hamlets
2013.0,19,24,"Ormonde Gate, Chelsea",Unknown
,20,26,"Westminster Bridge Road, Elephant & Castle",Southwark
2012.0,22,29,"Castlehaven Road, Camden Town",Camden
2016.0,22,27,"Birkenhead Street, King's Cross",Camden
2013.0,24,29,"Evesham Street, Avondale",Unknown
2016.0,25,31,"Copper Box Arena, Queen Elizabeth Olympic Park",Hackney
,27,33,"Wellington Row, Bethnal Green",Tower Hamlets
2010.0,32,45,"Argyle Street, Kings Cross",Unknown
2011.0,35,41,"Buxton Street 1, Shoreditch",Unknown
2013.0,36,43,"Dunston Road , Haggerston",Hackney
2011.0,6,14,"Charlotte Street, Fitzrovia",Camden
2010.0,8,15,"Orsett Terrace, Bayswater",Unknown
2011.0,8,15,"Cadogan Gardens, Chelsea",Unknown
2010.0,10,19,"Margery Street, Clerkenwell",Islington
2010.0,10,16,"The Tennis Courts, The Regent's Park",Unknown
2010.0,10,17,"Goswell Road (City Uni), Finsbury",Islington
2010.0,11,18,"Kennington Road Post Office, Oval",Lambeth
2010.0,11,18,"Serpentine Car Park, Hyde Park",Unknown
2012.0,11,18,"Old Montague Street, Whitechapel",Unknown
2010.0,12,20,"Wapping High Street, Wapping",Tower Hamlets
2010.0,13,19,"Black Prince Road, Vauxhall",Lambeth
2010.0,13,21,"Baldwin Street, St. Luke's",Unknown
2010.0,14,20,"Mallory Street, Marylebone",Unknown
2013.0,14,20,"Albert Bridge Road, Battersea Park",Wandsworth
2010.0,15,22,"Baylis Road, Waterloo",Lambeth
2014.0,15,21,"Sandilands Road, Walham Green",Hammersmith & Fulham
2022.0,15,22,"The Blue, Bermondsey",Southwark
2010.0,16,24,"Lower Thames Street, Monument",Unknown
2012.0,16,22,"Reardon Street, Wapping",Unknown
2013.0,16,22,"All Saints' Road, Portobello",Unknown
2013.0,16,24,"Durant Street, Bethnal Green",Tower Hamlets
2016.0,16,23,"Victoria Rise, Clapham Common",Lambeth
2010.0,17,23,"Kensington Gore, Knightsbridge",Unknown
2014.0,17,24,"Harcourt Terrace, West Brompton",Unknown
2010.0,19,26,"Palissy Street, Shoreditch",Tower Hamlets
2011.0,20,29,"Ebury Bridge, Pimlico",Unknown
2013.0,21,28,"Silverthorne Road, Battersea",Wandsworth
2016.0,24,30,"Euston Square Gardens, Euston",Camden
2010.0,27,33,"Great Dover Street, The Borough",Southwark
2010.0,32,40,"Embankment (Savoy), Strand",Unknown
2010.0,6,14,"Collingham Gardens, Earl's Court",Unknown
2010.0,8,15,"West Smithfield Rotunda, Farringdon",Unknown
2010.0,8,16,"Wormwood Street, Liverpool Street",Unknown
2010.0,8,16,"Westminster University, Marylebone",Unknown
,8,17,"Selby Street, Whitechapel",Tower Hamlets
2010.0,9,17,"Queensway, Kensington Gardens",Unknown
2010.0,9,16,"Bourne Street, Belgravia",Unknown
2010.0,9,16,"Pembridge Villas, Notting Hill",Unknown
2011.0,9,17,"Cleaver Street, Kennington",Lambeth
,9,16,"Aberfeldy Street, Poplar",Tower Hamlets
2010.0,10,17,"Southwick Street, Paddington",Unknown
2012.0,10,18,"Fournier Street, Whitechapel",Unknown
2012.0,10,18,"Limerston Street, West Chelsea",Unknown
2010.0,11,21,"Belgrave Square, Belgravia",Unknown
2013.0,11,21,"Islington Green, Angel",Islington
2012.0,12,21,"Twig Folly Bridge, Mile End",Tower Hamlets
,12,22,"Hoxton Station, Hoxton",Hackney
,12,20,"Globe Town Market, Bethnal Green",Tower Hamlets
2012.0,13,23,"Bell Lane, Liverpool Street",Unknown
,13,21,"Parson's Green , Parson's Green",Hammersmith & Fulham
2010.0,14,22,"Regency Street, Westminster",Unknown
2010.0,15,22,"Hereford Road, Bayswater",Unknown
2010.0,15,24,"Calshot Street , King's Cross",Islington
2012.0,15,24,"Old Ford Road, Bethnal Green",Tower Hamlets
,15,23,"Harford Street, Mile End",Tower Hamlets
2013.0,16,24,"Normand Park, West Kensington",Hammersmith & Fulham
2013.0,16,23,"Archbishop's Park, Waterloo",Lambeth
2010.0,17,26,"Great Russell Street, Bloomsbury",Camden
2013.0,17,24,"Chicheley Street, South Bank",Lambeth
2018.0,17,25,"St John's Crescent, Brixton",Lambeth
2012.0,19,28,"Jubilee Street, Stepney",Tower Hamlets
2010.0,21,28,"Bricklayers Arms, Borough",Southwark
2011.0,21,31,"Eaton Square (South), Belgravia",Unknown
2013.0,21,28,"Clarence Walk, Stockwell",Lambeth
2010.0,22,30,"Taviton Street, Bloomsbury",Camden
2010.0,22,30,"Fashion Street, Whitechapel",Unknown
2012.0,25,34,"Christian Street, Whitechapel",Unknown
2010.0,29,36,"Waterloo Station 1, Waterloo",Lambeth
2013.0,30,37,"Haggerston Road, Haggerston",Hackney
2010.0,31,41,"Shoreditch High Street, Shoreditch",Hackney
2010.0,2,10,"Royal Avenue 1, Chelsea",Unknown
2011.0,3,13,"Palace Gate, Kensington Gardens",Unknown
2010.0,4,13,"Rochester Row, Westminster",Unknown
2010.0,7,16,"South Wharf Road, Paddington",Unknown
2011.0,7,16,"Shouldham Street, Marylebone",Unknown
2010.0,8,21,"Scala Street, Fitzrovia",Camden
2010.0,8,19,"Northington Street , Holborn",Camden
2010.0,8,18,"St. John Street, Finsbury",Islington
2010.0,9,18,"Bell Street , Marylebone",Unknown
,9,18,"Aberdeen Place, St. John's Wood",Unknown
2013.0,10,18,"Felsham Road, Putney",Wandsworth
2013.0,10,19,"Finnis Street, Bethnal Green",Tower Hamlets
2014.0,10,18,"Elgin Avenue, Maida Hill",Unknown
,13,23,"Alpha Grove, Millwall",Unknown
2011.0,14,24,"Columbia Road, Shoreditch",Tower Hamlets
2013.0,14,22,"Mile End Stadium, Mile End",Tower Hamlets
2012.0,15,24,"Garnet Street, Shadwell",Unknown
2010.0,17,26,"Queen Mother Sports Centre, Victoria",Unknown
2013.0,17,25,"Simpson Street, Clapham Junction",Wandsworth
2018.0,19,28,"Drummond Street , Euston",Camden
,19,28,"Green Park Station, Mayfair",Unknown
2013.0,19,27,"Culvert Road, Battersea",Wandsworth
2018.0,19,27,"Sidney Road, Stockwell",Lambeth
,20,30,"Antill Road, Mile End",Unknown
2016.0,24,32,"Albert Square, Stockwell",Lambeth
2012.0,27,36,"Fisherman's Walk West, Canary Wharf",Unknown
2011.0,4,15,"Gloucester Road Station, South Kensington",Unknown
,5,17,"Gunmakers Lane, Old Ford",Unknown
2010.0,6,16,"Rathbone Street, Fitzrovia",Camden
2010.0,7,17,"The Guildhall, Guildhall",Unknown
2010.0,8,18,"Roscoe Street, St. Luke's",Unknown
2010.0,8,17,"Sadlers Sports Centre, Finsbury",Islington
2010.0,10,21,"Panton Street, West End",Unknown
2010.0,10,20,"Finsbury Leisure Centre, St. Luke's",Islington
2011.0,10,21,"Turquoise Island, Notting Hill",Unknown
,11,20,"Abingdon Green, Westminster",Westminster
2013.0,11,20,"Holden Street, Battersea",Wandsworth
2012.0,13,23,"Canton Street, Poplar",Tower Hamlets
2013.0,14,23,"Star Road, West Kensington",Hammersmith & Fulham
2012.0,15,24,"Walmer Road, Avondale",Unknown
2013.0,15,24,"Eel Brook Common, Walham Green",Hammersmith & Fulham
2013.0,15,24,"Newton Street, Covent Garden",Camden
2010.0,18,28,"Park Lane , Hyde Park",Unknown
2010.0,19,32,"Endsleigh Gardens, Euston",Camden
2012.0,21,30,"Philpot Street, Whitechapel",Tower Hamlets
2010.0,29,38,"Bethnal Green Road, Shoreditch",Hackney
2010.0,5,16,"Paddington Street, Marylebone",Unknown
2010.0,5,16,"Montpelier Street, Knightsbridge",Unknown
2011.0,5,15,"Snow Hill, Farringdon",City of London
2010.0,6,17,"Campden Hill Road, Notting Hill",Unknown
2010.0,6,18,"Chadwell Street, Angel",Islington
2010.0,7,19,"Green Street, Mayfair",Unknown
,7,18,"Newby Place, Poplar",Unknown
2010.0,8,20,"Lambeth North Station, Waterloo",Lambeth
2010.0,9,21,"Clapham Common Station, Clapham Common",Lambeth
,9,21,"South Lambeth Road, Vauxhall",Lambeth
2013.0,9,19,"Sugden Road, Clapham",Wandsworth
2010.0,10,23,"Beaumont Street, Marylebone",Unknown
2010.0,10,24,"Black Lion Gate, Kensington Gardens",Unknown
2012.0,10,20,"Napier Avenue, Millwall",Unknown
,11,21,"Northdown Street, King's Cross",Islington
2014.0,12,23,"Westbourne Park Road, Portobello",Unknown
2010.0,13,23,"North Wharf Road, Paddington",Unknown
2010.0,14,27,"Drury Lane, Covent Garden",Unknown
2010.0,14,24,"Clifton Street, Shoreditch",Hackney
2012.0,14,24,"Bethnal Green Garden, Bethnal Green",Tower Hamlets
2012.0,14,24,"Bromley High Street, Bow",Unknown
2014.0,14,24,"The Vale, Chelsea",Unknown
,15,26,"Greenberry Street, St.John's Wood",Unknown
2010.0,16,27,"Murray Grove , Hoxton",Hackney
2010.0,16,26,"Graham Street, Angel",Islington
2012.0,17,27,"Hoxton Street, Hoxton",Hackney
2013.0,17,28,"Grant Road East, Clapham Junction",Wandsworth
2015.0,17,27,"Monier Road, Hackney Wick",Tower Hamlets
2013.0,18,29,"Lansdowne Road, Ladbroke Grove",Unknown
2013.0,18,28,"Dorothy Road, Clapham Junction",Wandsworth
2012.0,19,29,"Stebondale Street, Cubitt Town",Unknown
2013.0,19,30,"Peterborough Road, Sands End",Hammersmith & Fulham
2010.0,21,32,"Claverton Street, Pimlico",Unknown
2016.0,28,40,"Podium, Queen Elizabeth Olympic Park",Unknown
2010.0,31,45,"Webber Street , Southwark",Southwark
,33,44,"Caldwell Street, Stockwell",Lambeth
2011.0,34,45,"Southwark Station 2, Southwark",Southwark
2010.0,4,15,"Chelsea Green, Chelsea",Unknown
2010.0,5,16,"Kingsway, Covent Garden",Unknown
2010.0,6,18,"Broadwick Street, Soho",Unknown
2010.0,6,17,"Greycoat Street , Westminster",Westminster
,6,18,"Drayton Gardens, West Chelsea",Unknown
,7,19,"Rotherhithe Roundabout, Rotherhithe",Southwark
2013.0,7,25,"Spencer Park, Wandsworth Common",Wandsworth
,8,20,"Bishop's Bridge Road East, Bayswater",Unknown
2012.0,9,20,"Hansard Mews, Holland Park",Unknown
2013.0,10,21,"Blythe Road West, Shepherd's Bush",Hammersmith & Fulham
2014.0,10,21,"Prince of Wales Drive, Battersea Park",Wandsworth
2014.0,10,21,"Rifle Place, Avondale",Unknown
2020.0,10,22,"George Row, Bermondsey",Southwark
2010.0,11,23,"Great Percy Street, Clerkenwell",Islington
,11,22,"Thurtle Road, Haggerston",Hackney
2013.0,11,24,"Lots Road, West Chelsea",Unknown
2018.0,11,26,"Gas Holders, Battersea Park",Unknown
2012.0,12,25,"St. Mary & St. Michael Church, Stepney",Unknown
2013.0,12,24,"St. Peter's Terrace, Fulham",Hammersmith & Fulham
2010.0,13,25,"Harriet Street, Knightsbridge",Unknown
2012.0,13,24,"St. Katharine's Way, Tower",Tower Hamlets
,13,27,"Fulham Park Road, Fulham",Hammersmith & Fulham
2013.0,13,24,"Clarendon Road, Avondale",Unknown
2018.0,13,24,"Cranmer Road, Stockwell",Lambeth
,16,27,"Heron Quays DLR, Canary Wharf",Unknown
2010.0,17,30,"Dock Street, Wapping",Tower Hamlets
,19,30,"Colet Gardens, Hammersmith",Hammersmith & Fulham
2010.0,21,33,"New Kent Road, The Borough",Southwark
2012.0,22,33,"Parkway, Camden Town",Camden
2012.0,25,39,"Import Dock, Canary Wharf",Unknown
2010.0,31,42,"Harper Road, The Borough",Southwark
,32,45,"Union Grove, Wandsworth Road",Lambeth
2010.0,1,18,"Derry Street, Kensington",Unknown
2010.0,1,16,"Wardour Street, Soho",Unknown
2010.0,4,16,"Eversholt Street , Camden Town",Camden
2010.0,4,17,"Grosvenor Square, Mayfair",Unknown
2011.0,4,18,"Frith Street, Soho",Unknown
2010.0,5,18,"St. Martin's Street, West End",Unknown
2010.0,6,20,"St Mary's Hospital, Paddington",Unknown
2010.0,6,18,"Kensington Town Hall, Kensington",Unknown
,7,21,"Ilchester Gardens, Bayswater",Unknown
2010.0,8,21,"Clerkenwell Green, Clerkenwell",Islington
,12,24,"Abbotsbury Road, Holland Park",Unknown
2013.0,13,26,"Ravenscourt Park Station, Hammersmith",Hammersmith & Fulham
2013.0,13,26,"Orbel Street, Battersea",Wandsworth
2013.0,14,28,"Westbridge Road, Battersea",Wandsworth
2016.0,14,26,"Riverlight South, Nine Elms",Wandsworth
2010.0,15,28,"Wenlock Road , Hoxton",Hackney
2010.0,15,27,"Harrington Square 1, Camden Town",Camden
2013.0,15,28,"Queensdale Road, Shepherd's Bush",Hammersmith & Fulham
2013.0,16,28,"Stewart's Road, Wandsworth Road",Wandsworth
2017.0,16,28,"Allington Street, Victoria",Unknown
2013.0,17,29,"Putney Bridge Road, East Putney",Wandsworth
2010.0,18,30,"Hardwick Street, Clerkenwell",Islington
2013.0,18,30,"Spanish Road, Clapham Junction",Wandsworth
2010.0,23,36,"London Zoo Car Park, The Regent's Park",Unknown
2013.0,23,35,"Hartington Road, Stockwell",Lambeth
2013.0,24,37,"Greyhound Road, Hammersmith",Hammersmith & Fulham
2010.0,26,41,"Berry Street, Clerkenwell",Islington
2010.0,0,15,"South Audley Street, Mayfair",Unknown
2011.0,0,13,"Exhibition Road Museums 1, South Kensington",Unknown
2013.0,2,18,"Bridge Avenue, Hammersmith",Hammersmith & Fulham
2010.0,3,16,"Farringdon Lane, Clerkenwell",Islington
2010.0,3,18,"Claremont Square, Angel",Islington
2010.0,3,17,"Union Street, The Borough",Southwark
2010.0,3,18,"Smith Square, Westminster",Westminster
2011.0,3,16,"Moor Street, Soho",Unknown
2011.0,3,16,"George Place Mews, Marylebone",Unknown
2012.0,3,16,"Clarges Street, Mayfair",Unknown
2010.0,4,19,"Bolsover Street, Fitzrovia",Unknown
2010.0,4,18,"Porchester Place, Paddington",Unknown
2010.0,6,22,"Park Road (Baker Street), The Regent's Park",Unknown
2010.0,6,20,"Paddington Green, Paddington",Unknown
2019.0,6,21,"Bonner Gate, Victoria Park",Unknown
2010.0,7,20,"Long Lane , Bermondsey",Southwark
2010.0,7,21,"Warwick Row, Westminster",Unknown
2010.0,8,22,"Pall Mall East, West End",Unknown
2010.0,8,22,"New North Road 2, Hoxton",Hackney
2013.0,8,21,"St. Mark's Road, North Kensington",Unknown
2013.0,8,22,"West Kensington Station, West Kensington",Hammersmith & Fulham
2013.0,8,21,"Duke Street Hill, London Bridge",Southwark
2010.0,9,22,"King Edward Walk, Waterloo",Southwark
2013.0,9,24,"Stainsby Road , Poplar",Tower Hamlets
2015.0,10,25,"Imperial Wharf Station, Sands End",Hammersmith & Fulham
2010.0,11,24,"Cotton Garden Estate, Kennington",Lambeth
2010.0,11,24,"Bermondsey Street, Bermondsey",Southwark
2012.0,11,24,"Cephas Street, Bethnal Green",Tower Hamlets
2010.0,12,27,"Howick Place, Westminster",Westminster
2012.0,12,27,"Vauxhall Walk, Vauxhall",Lambeth
2010.0,13,26,"Chepstow Villas, Notting Hill",Unknown
2010.0,13,27,"Seville Street, Knightsbridge",Unknown
2010.0,14,27,"Swan Street, The Borough",Southwark
2013.0,15,28,"Ashley Crescent, Battersea",Wandsworth
2010.0,17,33,"Flood Street, Chelsea",Unknown
2010.0,19,32,"London Zoo,  The Regent's Park",Unknown
2012.0,19,33,"Albert Gardens, Stepney",Unknown
,21,35,"Queensbridge Road, Haggerston",Hackney
2016.0,21,35,"Lambeth Palace Road, Waterloo",Lambeth
2010.0,31,47,"Kennington Cross, Kennington",Lambeth
2010.0,0,15,"Aldersgate Street, Barbican",Unknown
2011.0,0,14,"Southampton Street, Strand",Unknown
2012.0,0,14,"Exhibition Road Museums 2, South Kensington",Unknown
