year,bikes_count,docks_count,name,Borough
2010.0,0,15,"Houghton Street, Strand",Unknown
2010.0,0,15,"South Kensington Station, South Kensington",Unknown
2011.0,0,15,"Farm Street, Mayfair",Unknown
2010.0,1,17,"Jewry Street, Aldgate",Unknown
2010.0,2,18,"Crawford Street, Marylebone",Unknown
2017.0,2,18,"Arundel Street, Temple",Unknown
2010.0,2,17,"Geraldine Street, Elephant & Castle",Southwark
2010.0,3,18,"Sackville Street, Mayfair",Unknown
2010.0,3,18,"Butler Place, Westminster",Westminster
2010.0,4,19,"Lexham Gardens, Kensington",Unknown
2012.0,4,19,"Millharbour, Millwall",Unknown
2010.0,5,20,"Waterloo Place, St. James's",Unknown
2010.0,5,21,"Curlew Street, Shad Thames",Southwark
2012.0,5,21,"Whiston Road, Haggerston",Hackney
,5,20,"Tower Wharf, Bermondsey",Southwark
,6,21,"Lansdowne Walk, Ladbroke Grove",Unknown
2012.0,7,22,"Killick Street, King's Cross",Islington
2010.0,8,24,"Pindar Street, Liverpool Street",Hackney
2010.0,8,25,"Kensington Olympia Station, Olympia",Hammersmith & Fulham
2010.0,9,24,"Rodney Road , Walworth",Southwark
,9,26,"Preston's Road, Cubitt Town",Unknown
2013.0,9,26,"Fulham Broadway, Walham Green",Hammersmith & Fulham
2016.0,9,24,"Bevington Road West, North Kensington",Unknown
2016.0,9,24,"Victory Place, Walworth",Southwark
2010.0,10,26,"William IV Street, Strand",Unknown
,10,26,"Addison Road, Holland Park",Unknown
2010.0,11,26,"Theobald's Road , Holborn",Camden
2010.0,13,30,"Shoreditch Park, Hoxton",Hackney
2010.0,13,28,"Putney Pier, Wandsworth",Wandsworth
2020.0,13,30,"Bermondsey Station, Bermondsey",Southwark
2013.0,14,30,"Wandsworth Rd, Isley Court, Wandsworth Road",Unknown
2013.0,15,31,"Plough Terrace, Clapham Junction",Wandsworth
2016.0,15,30,"Tate Modern, Bankside",Southwark
,23,41,"Strata, Elephant & Castle",Southwark
,24,40,"Carnegie Street, King's Cross",Islington
2012.0,28,44,"Lindfield Street, Poplar",Tower Hamlets
2010.0,0,17,"Gower Place , Euston",Unknown
2010.0,0,16,"Portugal Street, Holborn",Unknown
2010.0,1,18,"Vicarage Gate, Kensington",Unknown
2011.0,1,18,"South Parade, Chelsea",Unknown
2010.0,2,18,"Broadcasting House, Marylebone",Unknown
2010.0,2,18,"Grafton Street, Mayfair",Unknown
2010.0,2,18,"Lisson Grove, St. John's Wood",Unknown
2010.0,2,18,"Golden Square, Soho",Unknown
2010.0,2,18,"Lambeth Road, Vauxhall",Lambeth
2011.0,2,18,"Upper Grosvenor Street, Mayfair",Unknown
2013.0,2,18,"Park Lane, Mayfair",Unknown
2010.0,3,19,"New Globe Walk, Bankside",Southwark
2010.0,3,20,"Southampton Place, Holborn",Camden
2010.0,3,21,"Hinde Street, Marylebone",Unknown
2013.0,4,21,"Danvers Street, West Chelsea",Unknown
2013.0,4,21,"Charing Cross Hospital, Hammersmith",Hammersmith & Fulham
2012.0,5,22,"Monument Street, Monument",Unknown
2013.0,5,22,"Smugglers Way, Wandsworth",Wandsworth
,6,22,"Hammersmith Road, Hammersmith",Hammersmith & Fulham
2010.0,7,24,"Pont Street, Knightsbridge",Unknown
2013.0,7,25,"Hertford Road, De Beauvoir Town",Hackney
2016.0,7,24,"Kings Gate House, Westminster",Unknown
2010.0,8,24,"Brunswick Square, Bloomsbury",Camden
2010.0,8,24,"Ilchester Place, Kensington",Unknown
,8,24,"Gloucester Avenue, Camden Town",Camden
,11,27,"Albany Street, The Regent's Park",Camden
,11,28,"Manbre Road, Hammersmith",Hammersmith & Fulham
2013.0,12,28,"Morie Street, Wandsworth",Wandsworth
2010.0,14,34,"Old Street Station, St. Luke's",Islington
2013.0,14,30,"Vicarage Crescent, Battersea",Wandsworth
2013.0,15,31,"Snowsfields, London Bridge",Southwark
2012.0,19,36,"South Quay East, Canary Wharf",Unknown
2016.0,21,37,"New Spring Gardens Walk, Vauxhall",Lambeth
2013.0,23,40,"Courland Grove, Wandsworth Road",Lambeth
2018.0,26,42,"Saltoun Road, Brixton",Lambeth
2010.0,32,50,"St. John's Wood Church, The Regent's Park",Unknown
2010.0,0,19,"Sumner Place, South Kensington",Unknown
2010.0,0,17,"North Audley Street, Mayfair",Unknown
2010.0,0,18,"St. George Street, Mayfair",Unknown
2011.0,0,18,"Prince Consort Road, Knightsbridge",Unknown
2011.0,0,17,"Clifford Street, Mayfair",Unknown
2010.0,1,19,"River Street , Clerkenwell",Islington
2010.0,1,20,"St. Luke's Church, Chelsea",Unknown
2010.0,2,19,"Tavistock Place, Bloomsbury",Camden
,2,19,"Driffield Road, Old Ford",Unknown
2013.0,2,20,"Princedale Road , Holland Park",Unknown
2014.0,2,20,"Hurlingham Park, Parsons Green",Hammersmith & Fulham
2010.0,3,22,"Baker Street, Marylebone",Unknown
2010.0,3,20,"Tysoe Street, Clerkenwell",Islington
2013.0,4,22,"Hawley Crescent, Camden Town",Camden
2013.0,5,25,"Charlotte Terrace, Angel",Islington
,5,22,"Brandon Street, Walworth",Southwark
2010.0,6,25,"Ashley Place, Victoria",Unknown
2010.0,6,24,"Wellington Street , Strand",Unknown
2013.0,6,24,"Woodstock Grove, Shepherd's Bush",Hammersmith & Fulham
2012.0,7,24,"Cantrell Road, Bow",Unknown
,7,24,"Russell Gardens, Olympia",Unknown
2013.0,8,25,"Upper Richmond Road, Putney",Wandsworth
2019.0,9,27,"Westminster Pier, Westminster",Westminster
,11,30,"Pitfield Street Central, Hoxton",Hackney
,12,29,"Seymour Place, Marylebone",Unknown
2013.0,12,29,"Broomhouse Lane, Parsons Green",Hammersmith & Fulham
2016.0,12,30,"Sopwith Way, Battersea Park",Wandsworth
2013.0,13,30,"Ingrave Street, Clapham Junction",Wandsworth
2013.0,14,32,"Vereker Road, West Kensington",Hammersmith & Fulham
2013.0,14,32,"Neville Gill Close, Wandsworth",Wandsworth
2014.0,15,33,"Little Brook Green, Brook Green",Hammersmith & Fulham
2016.0,17,36,"Westferry Circus, Canary Wharf",Unknown
2014.0,18,35,"Binfield Road, Stockwell",Lambeth
2010.0,0,19,"Torrens Street, Angel",Islington
2010.0,0,18,"Gloucester Road (North), Kensington",Unknown
2010.0,0,19,"Barbican Centre, Barbican",Unknown
2014.0,0,21,"Storey's Gate, Westminster",Westminster
2010.0,1,19,"Great Titchfield Street, Fitzrovia",Unknown
2010.0,2,21,"Longford Street, The Regent's Park",Camden
2010.0,3,23,"Norton Folgate, Liverpool Street",City of London
2010.0,3,23,"Craven Street, Strand",Unknown
,3,21,"New Fetter Lane, Holborn",City of London
2013.0,4,22,"Blenheim Crescent, Ladbroke Grove",Unknown
2010.0,5,24,"Liverpool Road (N1 Centre), Angel",Islington
2014.0,5,24,"Page Street, Westminster",Unknown
2010.0,6,24,"Foley Street, Fitzrovia",Unknown
2014.0,6,24,"Grenfell Road, Avondale",Unknown
2014.0,6,25,"Ram Street, Wandsworth",Wandsworth
2013.0,8,28,"Alma Road, Wandsworth",Wandsworth
2013.0,8,26,"Sirdar Road, Avondale",Unknown
2016.0,9,28,"Cromer Street, Bloomsbury",Camden
2016.0,9,29,"Lavington Street, Bankside",Southwark
2016.0,13,34,"East Village, Queen Elizabeth Olympic Park",Newham
2010.0,14,34,"Elizabeth Bridge, Victoria",Unknown
2012.0,14,36,"Upper Bank Street, Canary Wharf",Unknown
,15,36,"Greenland Road, Camden Town",Camden
2014.0,19,37,"Clapham Common North Side, Clapham Common",Wandsworth
2012.0,26,45,"Eagle Wharf Road, Hoxton",Hackney
2010.0,0,21,"Little Argyll Street, West End",Unknown
2010.0,0,19,"Argyll Road, Kensington",Unknown
2011.0,0,21,"Imperial College, Knightsbridge",Unknown
2012.0,0,19,"Fore Street Avenue, Guildhall",Unknown
2010.0,1,21,"Bruton Street, Mayfair",Unknown
2013.0,1,20,"Putney Rail Station, Putney",Wandsworth
2010.0,2,21,"Queen's Gate, Kensington Gardens",Unknown
2012.0,2,21,"Bury Place, Holborn",Camden
2010.0,3,25,"Bayley Street , Bloomsbury",Camden
2011.0,3,24,"Millbank Tower, Pimlico",Unknown
2013.0,3,25,"Thorndike Close, West Chelsea",Unknown
2016.0,4,23,"Southwark Street, Bankside",Southwark
2010.0,5,26,"Hatton Wall, Holborn",Camden
2010.0,5,26,"Westbourne Grove, Bayswater",Unknown
2013.0,5,27,"Battersea Park Road, Nine Elms",Wandsworth
2010.0,6,25,"Godliman Street, St. Paul's",Unknown
2010.0,8,29,"Abbey Orchard Street, Westminster",Westminster
2013.0,8,28,"Queen's Circus, Battersea Park",Wandsworth
2010.0,9,29,"Belgrave Road, Victoria",Unknown
2013.0,9,29,"Oxford Road, Putney",Wandsworth
2010.0,14,34,"Portland Place, Marylebone",Unknown
,15,36,"BBC White City, White City",Unknown
2010.0,18,37,"Cloudesley Road, Angel",Islington
,26,45,"Pennington Street, Wapping",Unknown
2010.0,0,21,"Woodstock Street, Mayfair",Unknown
2010.0,0,20,"High Holborn , Covent Garden",Camden
2011.0,0,20,"Exhibition Road, Knightsbridge",Unknown
,0,20,"King Edward Street, St Pauls",City of London
2011.0,1,21,"Stanhope Gate, Mayfair",Unknown
2010.0,2,25,"Risinghill Street, Angel",Islington
2010.0,3,24,"Tower Gardens , Tower",Tower Hamlets
2010.0,4,24,"Marylebone Lane, Marylebone",Unknown
,4,24,"Arlington Road, Camden Town",Camden
,4,24,"York Way, Kings Cross",Unknown
2010.0,5,25,"Queen's Gate (South), South Kensington",Unknown
,5,25,"Farringdon Street, Holborn",City of London
2016.0,7,27,"Good's Way, King's Cross",Camden
2013.0,8,28,"Sheepcote Lane, Battersea",Wandsworth
2010.0,11,32,"Guilford Street , Bloomsbury",Camden
2013.0,12,33,"Brook Green South, Brook Green",Hammersmith & Fulham
2014.0,14,36,"Doddington Grove, Kennington",Southwark
2012.0,19,39,"Bow Church Station, Bow",Unknown
2010.0,26,50,"Doric Way , Somers Town",Camden
2010.0,0,21,"Cartwright Gardens , Bloomsbury",Camden
2010.0,0,22,"Queen Street 1, Bank",Unknown
2010.0,0,21,"St. Mary Axe, Aldgate",Unknown
2011.0,0,23,"Kennington Station, Kennington",Lambeth
2020.0,0,24,"Temple Gardens, Temple",Unknown
2014.0,1,24,"Tallis Street, Temple",Unknown
2013.0,2,24,"Phene Street, Chelsea",Unknown
2010.0,4,27,"Sedding Street, Sloane Square",Unknown
2010.0,4,25,"Breams Buildings, Holborn",Unknown
2016.0,4,27,"Handyside Street, King's Cross",Camden
2010.0,7,30,"Denyer Street, Knightsbridge",Unknown
2010.0,7,30,"Notting Hill Gate Station, Notting Hill",Unknown
2016.0,7,29,"Coram Street, Bloomsbury",Camden
2014.0,8,30,"Gwendwr Road, West Kensington",Hammersmith & Fulham
2010.0,9,30,"Milroy Walk, South Bank",Unknown
2010.0,9,34,"Cadogan Place, Knightsbridge",Unknown
2013.0,9,30,"Usk Road, Clapham Junction",Wandsworth
2013.0,10,37,"Imperial Road, Sands End",Hammersmith & Fulham
2013.0,16,37,"Michael Road, Walham Green",Hammersmith & Fulham
2012.0,17,39,"Maplin Street, Mile End",Tower Hamlets
2012.0,21,42,"Westfield Ariel Way, White City",Unknown
2016.0,21,44,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",Unknown
,0,24,"Sun Street, Liverpool Street",Unknown
2010.0,1,24,"Great Tower Street, Monument",Unknown
2010.0,1,23,"Bedford Way, Bloomsbury",Camden
2010.0,2,26,"Russell Square Station, Bloomsbury",Camden
2013.0,2,25,"St. Bride Street, Holborn",Unknown
2018.0,3,25,"Fore Street, Guildhall",Unknown
2010.0,5,29,"Grosvenor Road, Pimlico",Unknown
2012.0,6,29,"Westfield Southern Terrace ,Shepherd's Bush",Hammersmith & Fulham
2013.0,6,28,"Northfields, Wandsworth",Wandsworth
2010.0,8,33,"Bouverie Street, Temple",Unknown
,10,35,"Waterloo Station 3, Waterloo",Lambeth
2010.0,10,32,"Frampton Street, Paddington",Unknown
2013.0,12,36,"Fawcett Close, Battersea",Wandsworth
2012.0,13,37,"Granby Street, Shoreditch",Unknown
,14,41,"Somerset House, Strand",Unknown
2012.0,20,42,"Bow Road Station, Bow",Unknown
2010.0,25,47,"City Road, Angel",Islington
2017.0,1,27,"Battersea Power Station, Battersea Park",Wandsworth
2011.0,3,27,"George Street, Marylebone",Unknown
2010.0,4,28,"De Vere Gardens, Kensington",Unknown
2010.0,4,27,"Sloane Avenue, Knightsbridge",Unknown
2014.0,6,30,"Santos Road, Wandsworth",Wandsworth
2016.0,6,30,"Clapham Road, Lingham Street, Stockwell",Unknown
2010.0,7,31,"Queen's Gate (Central), South Kensington",Unknown
2012.0,7,30,"St. John's Park, Cubitt Town",Unknown
2010.0,8,32,"Queen Victoria Street, St. Paul's",Unknown
2010.0,8,31,"Poured Lines, Bankside",Southwark
2013.0,10,34,"Ashmole Estate, Oval",Lambeth
2010.0,11,34,"Eastbourne Mews, Paddington",Unknown
2013.0,11,35,"Shoreditch Court, Haggerston",Hackney
2010.0,13,36,"Hyde Park Corner, Hyde Park",Unknown
2014.0,16,39,"Ranelagh Gardens, Fulham",Hammersmith & Fulham
2014.0,21,47,"Mile End Park Leisure Centre, Mile End",Tower Hamlets
2010.0,0,24,"Charles II Street, West End",Unknown
2010.0,0,26,"Warren Street Station, Euston",Camden
2010.0,0,24,"Sardinia Street, Holborn",Unknown
2010.0,1,27,"Triangle Car Park, Hyde Park",Unknown
2010.0,2,27,"East Road, Hoxton",Hackney
2010.0,4,28,"Holy Trinity Brompton, Knightsbridge",Unknown
2011.0,4,30,"Holland Park, Kensington",Unknown
2013.0,5,30,"Osiers Road, Wandsworth",Wandsworth
2013.0,8,33,"Wandsworth Town Station, Wandsworth",Wandsworth
2010.0,10,36,"New Road 1 , Whitechapel",Tower Hamlets
2013.0,10,34,"Shepherd's Bush Road North, Shepherd's Bush",Hammersmith & Fulham
2013.0,11,37,"All Saints Church, Portobello",Unknown
2010.0,12,36,"Warwick Road, Olympia",Unknown
2010.0,12,37,"Palace Gardens Terrace, Notting Hill",Unknown
2017.0,13,38,"Southerton Road, Hammersmith",Hammersmith & Fulham
,20,45,"Gaywood  Street, Elephant & Castle",Southwark
2010.0,0,30,"Bunhill Row, Moorgate",Islington
2018.0,3,30,"Sea Containers, South Bank",Unknown
2011.0,8,33,"Wren Street, Holborn",Camden
2010.0,9,35,"British Museum, Bloomsbury",Camden
2010.0,16,41,"Tanner Street, Bermondsey",Southwark
2010.0,0,28,"Hatton Garden, Holborn",Camden
2015.0,0,28,"Houndsditch, Aldgate",Unknown
2013.0,3,30,"Esmond Street, Putney",Wandsworth
2010.0,5,34,"Newgate Street , St. Paul's",City of London
2010.0,7,35,"St. John's Wood Road, St. John's Wood",Unknown
2010.0,0,27,"Millennium Hotel, Mayfair",Unknown
2016.0,4,35,"Timber Lodge, Queen Elizabeth Olympic Park",Unknown
2010.0,6,36,"Kennington Road, Vauxhall",Lambeth
2012.0,9,36,"Cleveland Way, Stepney",Tower Hamlets
2012.0,14,41,"Ansell House, Stepney",Tower Hamlets
2010.0,0,29,"Chapel Place, Marylebone",Unknown
2010.0,0,30,"Howland Street, Fitzrovia",Camden
2016.0,0,28,"Lincoln's Inn Fields, Holborn",Camden
2013.0,1,29,"Upcerne Road, West Chelsea",Unknown
2010.0,2,30,"Old Brompton Road, South Kensington",Unknown
,4,35,"Strand, Strand",Unknown
2012.0,5,33,"Kingsway Southbound, Strand",Unknown
2010.0,18,46,"Empire Square, The Borough",Southwark
2012.0,35,63,"Jubilee Plaza, Canary Wharf",Unknown
2015.0,1,30,"Victoria & Albert Museum, South Kensington",Unknown
2010.0,2,33,"Finsbury Circus, Liverpool Street",Unknown
2010.0,3,34,"Crosswall, Tower",Unknown
2010.0,3,34,"Braham Street, Aldgate",Unknown
2010.0,3,34,"Albert Gate, Hyde Park",Unknown
2010.0,5,36,"Wellington Arch, Hyde Park",Unknown
2010.0,14,43,"Leonard Circus , Shoreditch",Hackney
2010.0,22,57,"Soho Square , Soho",Unknown
2012.0,0,31,"Mudchute DLR, Cubitt Town",Unknown
2010.0,3,33,"Tavistock Street, Covent Garden",Unknown
2013.0,6,36,"Rainville Road, Hammersmith",Hammersmith & Fulham
2010.0,8,38,"Belvedere Road 1, South Bank",Lambeth
2010.0,1,32,"Christopher Street, Liverpool Street",Hackney
2010.0,1,33,"Finsbury Square , Moorgate",Islington
2013.0,2,35,"Blackfriars Station, St. Paul's",City of London
,4,36,"Queen Street 2, Bank",Unknown
2012.0,13,46,"Mostyn Grove, Bow",Unknown
,32,64,"Edgware Road Station, Marylebone",Unknown
2010.0,0,32,"Store Street, Bloomsbury",Camden
2013.0,0,32,"Barons Court Station, West Kensington",Hammersmith & Fulham
2010.0,1,34,"Brushfield Street, Liverpool Street",Unknown
2013.0,1,33,"Disraeli Road, Putney",Wandsworth
2010.0,3,37,"Wright's Lane, Kensington",Unknown
,4,37,"Northumberland Avenue, Strand",Unknown
2012.0,9,45,"Bonny Street, Camden Town",Camden
2010.0,20,52,"Museum of London, Barbican",Unknown
2011.0,2,36,"Red Lion Street, Holborn",Camden
2010.0,3,37,"Leman Street, Aldgate",Tower Hamlets
2016.0,5,38,"Belvedere Road 2, South Bank",Lambeth
2010.0,9,42,"Royal London Hospital, Whitechapel",Tower Hamlets
2010.0,0,35,"Vauxhall Bridge , Pimlico",Unknown
2010.0,2,37,"Phillimore Gardens, Kensington",Unknown
2010.0,21,55,"Waterloo Station 2, Waterloo",Lambeth
2012.0,1,36,"Spindrift Avenue, Millwall",Unknown
2010.0,2,38,"Wells Street, Fitzrovia",Unknown
2010.0,5,40,"St. James's Square, St. James's",Unknown
2016.0,6,42,"Blackfriars Road, Southwark",Southwark
2010.0,19,57,"Royal College Street, Camden Town",Camden
2013.0,3,39,"Belford House, Haggerston",Hackney
2013.0,11,48,"Stephendale Road, Sands End",Hammersmith & Fulham
2012.0,6,45,"Queen Mary's, Mile End",Tower Hamlets
2010.0,7,46,"Whitehall Place, Strand",Westminster
2010.0,0,40,"Holborn Circus, Holborn",Camden
2010.0,1,41,"Queen's Gate (North), Kensington",Unknown
2011.0,2,42,"Natural History Museum, South Kensington",Unknown
2013.0,6,46,"Bishop's Avenue, Fulham",Hammersmith & Fulham
2013.0,15,56,"Parsons Green Station, Parsons Green",Unknown
2010.0,12,56,"Hop Exchange, The Borough",Southwark
2011.0,1,43,"Cheapside, Bank",Unknown
2013.0,2,46,"Crisp Road, Hammersmith",Hammersmith & Fulham
2012.0,10,54,"Jubilee Crescent, Cubitt Town",Unknown
2010.0,1,49,"Malet Street, Bloomsbury",Camden
2018.0,1,51,"Worship Street, Shoreditch",Hackney
2010.0,1,54,"Hampstead Road, Euston",Camden
2010.0,7,60,"Bankside Mix, Bankside",Southwark
2010.0,0,54,"Moorfields, Moorgate",Islington
