year,bikes_count,docks_count,name
2012,22,28,"Pitfield Street North,Hoxton"
2013,22,26,"Beryl Road, Hammersmith"
2012,23,27,"York Hall, Bethnal Green"
2016,23,28,"Here East North, Queen Elizabeth Olympic Park"
2011,24,30,"Fire Brigade Pier, Vauxhall"
2013,24,28,"Falcon Road, Clapham Junction"
2012,26,33,"Kennington Oval, Oval"
2018,26,32,"Normandy Road, Stockwell"
,29,36,"Clinton Road, Mile End"
2014,29,33,"St. John's Road, Clapham Junction"
2012,34,39,"Devons Road, Bow"
2010,3,10,"Royal Avenue 2, Chelsea"
,8,16,"Harrowby Street, Marylebone"
2012,9,17,"Southern Grove, Bow"
2010,10,16,"Cleveland Gardens, Bayswater"
2010,10,15,"Ontario Street, Elephant & Castle"
2010,11,17,"Vauxhall Cross, Vauxhall"
2010,12,17,"Penywern Road, Earl's Court"
2012,12,20,"Pott Street, Bethnal Green"
,13,19,"Eccleston Place, Victoria"
2012,13,18,"Chrisp Street Market, Poplar"
2014,13,21,"Limburg Road, Clapham Junction"
2010,14,20,"New Inn Yard, Shoreditch"
,14,21,"Bancroft Road, Bethnal Green"
2010,16,21,"Borough High Street, The Borough"
2012,19,24,"Sail Street, Vauxhall"
,19,24,"Langdon Park, Poplar"
2013,19,24,"Ormonde Gate, Chelsea"
,20,26,"Westminster Bridge Road, Elephant & Castle"
2012,22,29,"Castlehaven Road, Camden Town"
2016,22,27,"Birkenhead Street, King's Cross"
2013,24,29,"Evesham Street, Avondale"
2016,25,31,"Copper Box Arena, Queen Elizabeth Olympic Park"
,27,33,"Wellington Row, Bethnal Green"
2010,32,45,"Argyle Street, Kings Cross"
2011,35,41,"Buxton Street 1, Shoreditch"
2013,36,43,"Dunston Road , Haggerston"
2011,6,14,"Charlotte Street, Fitzrovia"
2010,8,15,"Orsett Terrace, Bayswater"
2011,8,15,"Cadogan Gardens, Chelsea"
2010,10,19,"Margery Street, Clerkenwell"
2010,10,16,"The Tennis Courts, The Regent's Park"
2010,10,17,"Goswell Road (City Uni), Finsbury"
2010,11,18,"Kennington Road Post Office, Oval"
2010,11,18,"Serpentine Car Park, Hyde Park"
2012,11,18,"Old Montague Street, Whitechapel"
2010,12,20,"Wapping High Street, Wapping"
2010,13,19,"Black Prince Road, Vauxhall"
2010,13,21,"Baldwin Street, St. Luke's"
2010,14,20,"Mallory Street, Marylebone"
2013,14,20,"Albert Bridge Road, Battersea Park"
2010,15,22,"Baylis Road, Waterloo"
2014,15,21,"Sandilands Road, Walham Green"
2022,15,22,"The Blue, Bermondsey"
2010,16,24,"Lower Thames Street, Monument"
2012,16,22,"Reardon Street, Wapping"
2013,16,22,"All Saints' Road, Portobello"
2013,16,24,"Durant Street, Bethnal Green"
2016,16,23,"Victoria Rise, Clapham Common"
2010,17,23,"Kensington Gore, Knightsbridge"
2014,17,24,"Harcourt Terrace, West Brompton"
2010,19,26,"Palissy Street, Shoreditch"
2011,20,29,"Ebury Bridge, Pimlico"
2013,21,28,"Silverthorne Road, Battersea"
2016,24,30,"Euston Square Gardens, Euston"
2010,27,33,"Great Dover Street, The Borough"
2010,32,40,"Embankment (Savoy), Strand"
2010,6,14,"Collingham Gardens, Earl's Court"
2010,8,15,"West Smithfield Rotunda, Farringdon"
2010,8,16,"Wormwood Street, Liverpool Street"
2010,8,16,"Westminster University, Marylebone"
,8,17,"Selby Street, Whitechapel"
2010,9,17,"Queensway, Kensington Gardens"
2010,9,16,"Bourne Street, Belgravia"
2010,9,16,"Pembridge Villas, Notting Hill"
2011,9,17,"Cleaver Street, Kennington"
,9,16,"Aberfeldy Street, Poplar"
2010,10,17,"Southwick Street, Paddington"
2012,10,18,"Fournier Street, Whitechapel"
2012,10,18,"Limerston Street, West Chelsea"
2010,11,21,"Belgrave Square, Belgravia"
2013,11,21,"Islington Green, Angel"
2012,12,21,"Twig Folly Bridge, Mile End"
,12,22,"Hoxton Station, Hoxton"
,12,20,"Globe Town Market, Bethnal Green"
2012,13,23,"Bell Lane, Liverpool Street"
,13,21,"Parson's Green , Parson's Green"
2010,14,22,"Regency Street, Westminster"
2010,15,22,"Hereford Road, Bayswater"
2010,15,24,"Calshot Street , King's Cross"
2012,15,24,"Old Ford Road, Bethnal Green"
,15,23,"Harford Street, Mile End"
2013,16,24,"Normand Park, West Kensington"
2013,16,23,"Archbishop's Park, Waterloo"
