year,bikes_count,docks_count,name
2010,3,25,"Bayley Street , Bloomsbury"
2011,3,24,"Millbank Tower, Pimlico"
2013,3,25,"Thorndike Close, West Chelsea"
2016,4,23,"Southwark Street, Bankside"
2010,5,26,"Hatton Wall, Holborn"
2010,5,26,"Westbourne Grove, Bayswater"
2013,5,27,"Battersea Park Road, Nine Elms"
2010,6,25,"Godliman Street, St. Paul's"
2010,8,29,"Abbey Orchard Street, Westminster"
2013,8,28,"Queen's Circus, Battersea Park"
2010,9,29,"Belgrave Road, Victoria"
2013,9,29,"Oxford Road, Putney"
2010,14,34,"Portland Place, Marylebone"
,15,36,"BBC White City, White City"
2010,18,37,"Cloudesley Road, Angel"
,26,45,"Pennington Street, Wapping"
2010,0,21,"Woodstock Street, Mayfair"
2010,0,20,"High Holborn , Covent Garden"
2011,0,20,"Exhibition Road, Knightsbridge"
,0,20,"King Edward Street, St Pauls"
2011,1,21,"Stanhope Gate, Mayfair"
2010,2,25,"Risinghill Street, Angel"
2010,3,24,"Tower Gardens , Tower"
2010,4,24,"Marylebone Lane, Marylebone"
,4,24,"Arlington Road, Camden Town"
,4,24,"York Way, Kings Cross"
2010,5,25,"Queen's Gate (South), South Kensington"
,5,25,"Farringdon Street, Holborn"
2016,7,27,"Good's Way, King's Cross"
2013,8,28,"Sheepcote Lane, Battersea"
2010,11,32,"Guilford Street , Bloomsbury"
2013,12,33,"Brook Green South, Brook Green"
2014,14,36,"Doddington Grove, Kennington"
2012,19,39,"Bow Church Station, Bow"
2010,26,50,"Doric Way , Somers Town"
2010,0,21,"Cartwright Gardens , Bloomsbury"
2010,0,22,"Queen Street 1, Bank"
2010,0,21,"St. Mary Axe, Aldgate"
2011,0,23,"Kennington Station, Kennington"
2020,0,24,"Temple Gardens, Temple"
2014,1,24,"Tallis Street, Temple"
2013,2,24,"Phene Street, Chelsea"
2010,4,27,"Sedding Street, Sloane Square"
2010,4,25,"Breams Buildings, Holborn"
2016,4,27,"Handyside Street, King's Cross"
2010,7,30,"Denyer Street, Knightsbridge"
2010,7,30,"Notting Hill Gate Station, Notting Hill"
2016,7,29,"Coram Street, Bloomsbury"
2014,8,30,"Gwendwr Road, West Kensington"
2010,9,30,"Milroy Walk, South Bank"
2010,9,34,"Cadogan Place, Knightsbridge"
2013,9,30,"Usk Road, Clapham Junction"
2013,10,37,"Imperial Road, Sands End"
2013,16,37,"Michael Road, Walham Green"
2012,17,39,"Maplin Street, Mile End"
2012,21,42,"Westfield Ariel Way, White City"
2016,21,44,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
,0,24,"Sun Street, Liverpool Street"
2010,1,24,"Great Tower Street, Monument"
2010,1,23,"Bedford Way, Bloomsbury"
2010,2,26,"Russell Square Station, Bloomsbury"
2013,2,25,"St. Bride Street, Holborn"
2018,3,25,"Fore Street, Guildhall"
2010,5,29,"Grosvenor Road, Pimlico"
2012,6,29,"Westfield Southern Terrace ,Shepherd's Bush"
2013,6,28,"Northfields, Wandsworth"
2010,8,33,"Bouverie Street, Temple"
,10,35,"Waterloo Station 3, Waterloo"
2010,10,32,"Frampton Street, Paddington"
2013,12,36,"Fawcett Close, Battersea"
2012,13,37,"Granby Street, Shoreditch"
,14,41,"Somerset House, Strand"
2012,20,42,"Bow Road Station, Bow"
2010,25,47,"City Road, Angel"
2017,1,27,"Battersea Power Station, Battersea Park"
2011,3,27,"George Street, Marylebone"
2010,4,28,"De Vere Gardens, Kensington"
2010,4,27,"Sloane Avenue, Knightsbridge"
2014,6,30,"Santos Road, Wandsworth"
2016,6,30,"Clapham Road, Lingham Street, Stockwell"
2010,7,31,"Queen's Gate (Central), South Kensington"
2012,7,30,"St. John's Park, Cubitt Town"
2010,8,32,"Queen Victoria Street, St. Paul's"
2010,8,31,"Poured Lines, Bankside"
2013,10,34,"Ashmole Estate, Oval"
2010,11,34,"Eastbourne Mews, Paddington"
2013,11,35,"Shoreditch Court, Haggerston"
2010,13,36,"Hyde Park Corner, Hyde Park"
2014,16,39,"Ranelagh Gardens, Fulham"
2014,21,47,"Mile End Park Leisure Centre, Mile End"
2010,0,24,"Charles II Street, West End"
2010,0,26,"Warren Street Station, Euston"
2010,0,24,"Sardinia Street, Holborn"
2010,1,27,"Triangle Car Park, Hyde Park"
2010,2,27,"East Road, Hoxton"
2010,4,28,"Holy Trinity Brompton, Knightsbridge"
2011,4,30,"Holland Park, Kensington"
2013,5,30,"Osiers Road, Wandsworth"
2013,8,33,"Wandsworth Town Station, Wandsworth"
2010,10,36,"New Road 1 , Whitechapel"
2013,10,34,"Shepherd's Bush Road North, Shepherd's Bush"
2013,11,37,"All Saints Church, Portobello"
2010,12,36,"Warwick Road, Olympia"
2010,12,37,"Palace Gardens Terrace, Notting Hill"
2017,13,38,"Southerton Road, Hammersmith"
,20,45,"Gaywood  Street, Elephant & Castle"
2010,0,30,"Bunhill Row, Moorgate"
2018,3,30,"Sea Containers, South Bank"
2011,8,33,"Wren Street, Holborn"
2010,9,35,"British Museum, Bloomsbury"
2010,16,41,"Tanner Street, Bermondsey"
2010,0,28,"Hatton Garden, Holborn"
2015,0,28,"Houndsditch, Aldgate"
2013,3,30,"Esmond Street, Putney"
2010,5,34,"Newgate Street , St. Paul's"
2010,7,35,"St. John's Wood Road, St. John's Wood"
2010,0,27,"Millennium Hotel, Mayfair"
2016,4,35,"Timber Lodge, Queen Elizabeth Olympic Park"
2010,6,36,"Kennington Road, Vauxhall"
2012,9,36,"Cleveland Way, Stepney"
2012,14,41,"Ansell House, Stepney"
2010,0,29,"Chapel Place, Marylebone"
2010,0,30,"Howland Street, Fitzrovia"
2016,0,28,"Lincoln's Inn Fields, Holborn"
2013,1,29,"Upcerne Road, West Chelsea"
2010,2,30,"Old Brompton Road, South Kensington"
,4,35,"Strand, Strand"
2012,5,33,"Kingsway Southbound, Strand"
2010,18,46,"Empire Square, The Borough"
2012,35,63,"Jubilee Plaza, Canary Wharf"
2015,1,30,"Victoria & Albert Museum, South Kensington"
2010,2,33,"Finsbury Circus, Liverpool Street"
2010,3,34,"Crosswall, Tower"
2010,3,34,"Braham Street, Aldgate"
2010,3,34,"Albert Gate, Hyde Park"
2010,5,36,"Wellington Arch, Hyde Park"
2010,14,43,"Leonard Circus , Shoreditch"
2010,22,57,"Soho Square , Soho"
2012,0,31,"Mudchute DLR, Cubitt Town"
2010,3,33,"Tavistock Street, Covent Garden"
2013,6,36,"Rainville Road, Hammersmith"
2010,8,38,"Belvedere Road 1, South Bank"
2010,1,32,"Christopher Street, Liverpool Street"
2010,1,33,"Finsbury Square , Moorgate"
2013,2,35,"Blackfriars Station, St. Paul's"
,4,36,"Queen Street 2, Bank"
2012,13,46,"Mostyn Grove, Bow"
,32,64,"Edgware Road Station, Marylebone"
2010,0,32,"Store Street, Bloomsbury"
2013,0,32,"Barons Court Station, West Kensington"
2010,1,34,"Brushfield Street, Liverpool Street"
2013,1,33,"Disraeli Road, Putney"
2010,3,37,"Wright's Lane, Kensington"
,4,37,"Northumberland Avenue, Strand"
2012,9,45,"Bonny Street, Camden Town"
2010,20,52,"Museum of London, Barbican"
2011,2,36,"Red Lion Street, Holborn"
2010,3,37,"Leman Street, Aldgate"
2016,5,38,"Belvedere Road 2, South Bank"
2010,9,42,"Royal London Hospital, Whitechapel"
2010,0,35,"Vauxhall Bridge , Pimlico"
2010,2,37,"Phillimore Gardens, Kensington"
2010,21,55,"Waterloo Station 2, Waterloo"
2012,1,36,"Spindrift Avenue, Millwall"
2010,2,38,"Wells Street, Fitzrovia"
2010,5,40,"St. James's Square, St. James's"
2016,6,42,"Blackfriars Road, Southwark"
2010,19,57,"Royal College Street, Camden Town"
2013,3,39,"Belford House, Haggerston"
2013,11,48,"Stephendale Road, Sands End"
2012,6,45,"Queen Mary's, Mile End"
2010,7,46,"Whitehall Place, Strand"
2010,0,40,"Holborn Circus, Holborn"
2010,1,41,"Queen's Gate (North), Kensington"
2011,2,42,"Natural History Museum, South Kensington"
2013,6,46,"Bishop's Avenue, Fulham"
2013,15,56,"Parsons Green Station, Parsons Green"
2010,12,56,"Hop Exchange, The Borough"
2011,1,43,"Cheapside, Bank"
2013,2,46,"Crisp Road, Hammersmith"
2012,10,54,"Jubilee Crescent, Cubitt Town"
2010,1,49,"Malet Street, Bloomsbury"
2018,1,51,"Worship Street, Shoreditch"
2010,1,54,"Hampstead Road, Euston"
2010,7,60,"Bankside Mix, Bankside"
2010,0,54,"Moorfields, Moorgate"
