year,start_station_name,num_rides
2015,"Clarges Street, Mayfair",3540
2015,"Clarges Street, West End",1416
2015,"Clarkson Street, Bethnal Green",5646
2015,"Claverton Street, Pimlico",9066
2015,"Cleaver Street, Kennington",5259
2015,"Clerkenwell Green, Clerkenwell",22380
2015,"Cleveland Gardens, Bayswater",8507
2015,"Cleveland Way, Bethnal Green",3709
2015,"Cleveland Way, Stepney",3390
2015,"Clifford Street, Mayfair",9520
2015,"Clifton Road, Maida Vale",13256
2015,"Clifton Street, Shoreditch",8446
2015,"Clinton Road, Mile End",10759
2015,"Cloudesley Road, Angel",12074
2015,"Coborn Street, Mile End",340
2015,"Colet Gardens, Hammersmith",1265
2015,"Collingham Gardens, Earl's Court",8571
2015,"Colombo Street, Southwark",10766
2015,"Columbia Road, Shoreditch",12052
2015,"Columbia Road, Weavers",5027
2015,"Commercial Street, Shoreditch",12875
2015,"Concert Hall Approach 1, South Bank",12411
2015,"Concert Hall Approach 2, South Bank",12457
2015,"Contact Centre, Southbury House",48
2015,"Coomer Place, West Kensington",11914
2015,"Cotton Garden Estate, Kennington",6913
2015,"Courland Grove, Wandsworth Road",5369
2015,"Crabtree Lane, Fulham",8277
2015,"Craven Street, Strand",39624
2015,"Crawford Street, Marylebone",14179
2015,"Crinan Street, King's Cross",13937
2015,"Crisp Road, Hammersmith",11040
2015,"Crosswall, Tower",33833
2015,"Culvert Road, Battersea",3644
2015,"Cumberland Gate, Hyde Park",26981
2015,"Curlew Street, Shad Thames",20748
2015,"Curzon Street, Mayfair",9348
2015,"Danvers Street, West Chelsea",10519
2015,"De Vere Gardens, Kensington",10049
2015,"Denyer Street, Knightsbridge",5570
2015,"Derry Street, Kensington",23292
2015,"Devons Road, Bow",5157
2015,"Devonshire Square, Liverpool Street",15352
2015,"Devonshire Terrace, Bayswater",16422
2015,"Dickens Square, Borough",4996
2015,"Disraeli Road, Putney",8357
2015,"Doddington Grove, Kennington",9225
2015,"Doric Way , Somers Town",19979
2015,"Dorothy Road, Clapham Junction",6855
2015,"Dorset Square, Marylebone",15922
2015,"Drayton Gardens, Chelsea",4808
2015,"Drayton Gardens, West Chelsea",13936
2015,"Driffield Road, Old Ford",10602
2015,"Drummond Street , Euston",19697
2015,"Drury Lane, Covent Garden",30181
2015,"Duke Street Hill, London Bridge",38147
2015,"Dunston Road , Haggerston",23257
2015,"Durant Street, Bethnal Green",10775
2015,"Eagle Wharf Road, Hoxton",28062
2015,"Earnshaw Street , Covent Garden",14080
2015,"East Ferry Road, Cubitt Town",3681
2015,"East India DLR, Blackwall",5586
2015,"East Road, Hoxton",13670
2015,"Eastbourne Mews, Paddington",13112
2015,"Eaton Square (South), Belgravia",6434
2015,"Eaton Square, Belgravia",10445
2015,"Ebury Bridge, Pimlico",13088
2015,"Eccleston Place, Victoria",26789
2015,"Edgware Road Station, Marylebone",10843
2015,"Edgware Road Station, Paddington",3887
2015,"Eel Brook Common, Walham Green",7317
2015,"Elizabeth Bridge, Victoria",20158
2015,"Elysium Place, Fulham",4780
2015,"Embankment (Horse Guards), Westminster",6564
2015,"Embankment (Savoy), Strand",11915
2015,"Emperor's Gate, South Kensington",10554
2015,"Empire Square, The Borough",13582
2015,"Endsleigh Gardens, Euston",22288
2015,"Erin Close, Walham Green",15815
2015,"Esmond Street, Putney",1929
2015,"Ethelburga Estate, Battersea Park",18435
2015,"Euston Road, Euston",14624
2015,"Everington Street, Fulham",7632
2015,"Eversholt Street , Camden Town",8480
2015,"Evesham Street, Avondale",3045
2015,"Exhibition Road Museums, Knightsbridge",6353
2015,"Exhibition Road Museums, South Kensington",17075
2015,"Exhibition Road, Knightsbridge",32056
2015,"Falcon Road, Clapham Junction",17193
2015,"Falkirk Street, Hoxton",9530
2015,"Fanshaw Street, Hoxton",8513
2015,"Farm Street, Mayfair",5763
2015,"Farringdon Lane, Clerkenwell",12246
2015,"Fashion Street, Whitechapel",11499
2015,"Fawcett Close, Battersea",707
2015,"Fawcett Close, Clapham Junction",1810
2015,"Felsham Road, Putney",7661
2015,"Finlay Street, Fulham",10889
2015,"Finnis Street, Bethnal Green",7883
2015,"Finsbury Circus, Liverpool Street",44822
2015,"Finsbury Leisure Centre, St. Luke's",24078
2015,"Finsbury Library , Finsbury",11079
2015,"Finsbury Square , Moorgate",15192
2015,"Fire Brigade Pier, Vauxhall",18007
2015,"Fisherman's Walk West, Canary Wharf",10695
2015,"Fishermans Walk West, Canary Wharf",3809
2015,"Flamborough Street, Limehouse",16973
2015,"Flood Street, Chelsea",19774
2015,"Foley Street, Fitzrovia",17688
2015,"Ford Road, Old Ford",6502
2015,"Fore Street, Guildhall",12725
2015,"Fournier Street, Whitechapel",17057
2015,"Frampton Street, Paddington",6883
2015,"Freston Road, Avondale",2586
2015,"Frith Street, Soho",16259
2015,"Fulham Broadway, Walham Green",25167
2015,"Fulham Park Road, Fulham",9610
2015,"Furze Green, Bow",10471
2015,"Garnet Street, Shadwell",10125
2015,"Gaywood  Street, Elephant & Castle",6207
2015,"George Place Mews, Marylebone",9493
2015,"George Street, Marylebone",14304
2015,"Geraldine Street, Elephant & Castle",4066
2015,"Globe Town Market, Bethnal Green",10278
2015,"Gloucester Avenue, Camden Town",12532
2015,"Gloucester Road (Central), South Kensington",10300
2015,"Gloucester Road (North), Kensington",14198
2015,"Gloucester Road Station, South Kensington",23800
2015,"Gloucester Street, Pimlico",15783
2015,"Gloucester Terrace, Bayswater",8975
2015,"Godliman Street, St. Paul's",21874
2015,"Golden Lane, Barbican",15997
2015,"Golden Square, Soho",16514
2015,"Goldsmith's Row, Haggerston",9567
2015,"Goldsmiths Row, Haggerston",3560
2015,"Goswell Road (City Uni), Finsbury",9892
2015,"Gower Place , Euston",15154
2015,"Grafton Street, Mayfair",6527
2015,"Graham Street, Angel",20832
2015,"Granby Street, Shoreditch",18286
2015,"Grant Road Central, Clapham Junction",767
2015,"Grant Road East, Clapham Junction",9445
2015,"Grant Road West, Clapham Junction",1307
2015,"Great Dover Street, Borough",3928
2015,"Great Dover Street, The Borough",8608
2015,"Great Marlborough Street, Soho",24650
2015,"Great Percy Street, Clerkenwell",13021
2015,"Great Russell Street, Bloomsbury",17430
2015,"Great Suffolk Street, The Borough",10442
2015,"Great Titchfield Street, Fitzrovia",14598
2015,"Great Tower Street, Monument",27167
2015,"Green Park Station, Mayfair",24898
2015,"Green Park Station, West End",8850
2015,"Green Street, Mayfair",10365
2015,"Greenberry Street, St.John's Wood",4631
2015,"Greenland Road, Camden Town",17667
2015,"Grenfell Road, Avondale",3650
2015,"Greycoat Street , Westminster",6427
2015,"Greyhound Road, Hammersmith",9998
2015,"Grosvenor Crescent, Belgravia",5497
2015,"Grosvenor Road, Pimlico",7289
2015,"Grosvenor Square, Mayfair",12702
2015,"Grove End Road, St. John's Wood",11385
2015,"Guildhouse Street, Victoria",8331
2015,"Guilford Street , Bloomsbury",19096
2015,"Gun Makers Lane, Old Ford",3035
2015,"Gunmakers Lane, Old Ford",8136
2015,"Gwendwr Road, West Kensington",6406
2015,"Haggerston Road, Haggerston",13415
2015,"Hammersmith Road, Hammersmith",13752
2015,"Hammersmith Town Hall, Hammersmith",6534
2015,"Hampstead Road (Cartmel), Euston",5688
2015,"Hampstead Road, Euston",20833
2015,"Hampton Street, Walworth",9834
2015,"Hansard Mews, Holland Park",4987
2015,"Hansard Mews, Shepherds Bush",1898
2015,"Harcourt Terrace, West Brompton",9880
2015,"Hardwick Street, Clerkenwell",11525
2015,"Harford Street, Mile End",8755
2015,"Harper Road, Borough",1660
2015,"Harper Road, The Borough",4168
2015,"Harriet Street, Knightsbridge",14060
2015,"Harrington Square 1, Camden Town",2839
2015,"Harrington Square 2, Camden Town",11579
2015,"Harrington Square, Camden Town",911
2015,"Harrowby Street, Marylebone",7922
2015,"Hartington Road, Stockwell",9362
2015,"Hatton Garden, Holborn",18978
2015,"Hatton Wall, Holborn",26452
2015,"Hawley Crescent, Camden Town",5052
2015,"Heath Road, Battersea",3947
2015,"Hereford Road, Bayswater",12490
2015,"Hermitage Court, Wapping",6813
2015,"Heron Quays DLR, Canary Wharf",4587
2015,"Hertford Road, De Beauvoir Town",14188
2015,"Hewison Street, Old Ford",6397
2015,"Hibbert Street, Battersea",1804
2015,"Hibbert Street, Clapham Junction",5343
2015,"High Holborn , Covent Garden",12728
2015,"Hinde Street, Marylebone",19555
2015,"Holborn Circus, Holborn",28410
2015,"Holden Street, Battersea",3235
2015,"Holland Park, Kensington",7333
2015,"Hollybush Gardens, Bethnal Green",7479
2015,"Holy Trinity Brompton, Knightsbridge",13684
2015,"Hop Exchange, The Borough",47311
2015,"Horseferry Road, Westminster",13806
2015,"Hortensia Road, West Brompton",8946
2015,"Houghton Street, Strand",7787
2015,"Houndsditch, Aldgate",4698
2015,"Howick Place, Westminster",19462
2015,"Howland Street, Fitzrovia",17326
2015,"Hoxton Station, Haggerston",3444
